1 3 5 28.0
0 2 5 -28.0
1 2 4 28.0
0 2 3 -28.0
1 1 4 28.0
0 3 6 -28.0
1 2 6 28.0
0 0 4 -28.0
1 3 2 28.0
0 4 2 -28.0
1 1 3 28.0
0 1 5 -6.2
1 2 2 5.74
0 2 1 -5.83
1 5 3 6.14
0 1 2 -6.52
1 4 6 7.76
0 2 7 -6.66
1 0 5 5.14
0 4 7 -5.02
1 0 3 4.52
0 5 5 -3.28
1 3 7 1.7
0 0 2 -0.73
1 5 7 0.41
0 6 7 -0.27
1 5 4 -0.62
0 4 5 -0.77
1 0 1 2.4
0 1 7 -2.66
1 4 1 2.53
0 3 1 -2.26
1 5 1 0.67
0 6 5 -0.8
1 4 0 0.75
0 6 2 -1.49
1 3 0 2.27
0 5 2 -3.13
1 7 2 3.55
0 2 0 -4.41
1 6 4 3.77
0 7 5 -3.11
1 7 4 4.51
0 7 3 -5.84
1 6 3 8.84
0 5 0 -13.11
1 5 6 17.12
0 7 1 -21.15
1 6 6 23.4
0 0 6 -23.51
1 0 7 17.55
0 7 7 -12.52
1 7 6 18.38
0 1 1 -28.0
1 0 0 28.0
0 1 0 -28.0
1 6 0 28.0
0 6 1 -28.0
1 7 0 28.0
1 1 6 28.0
