1 3 5 -12.0
0 2 3 12.0
1 5 2 -12.0
0 3 6 12.0
1 2 5 -12.0
0 5 3 -0.94
1 5 4 0.94
0 6 2 -0.83
1 3 2 0.26
0 2 2 0.5
1 1 3 -0.05
0 6 4 0.4
1 6 3 -0.63
0 7 2 0.83
1 5 5 -1.56
0 4 5 1.97
1 4 6 -1.16
0 2 4 0.66
1 6 5 -0.25
0 1 4 -0.68
1 3 1 1.02
0 5 6 -1.71
1 2 7 1.83
0 7 5 -0.54
1 4 7 -0.52
0 5 7 2.08
1 1 2 -3.48
0 5 1 2.98
1 0 5 -2.69
0 3 7 2.3
1 6 7 -1.0
0 4 2 2.34
1 4 1 -3.09
0 0 4 1.85
1 0 3 -2.45
0 1 6 2.16
1 5 0 -1.66
0 4 0 -0.55
1 3 0 1.97
0 2 0 -2.27
1 1 0 3.58
0 2 1 -3.35
1 1 5 1.96
0 0 2 1.62
1 0 7 -6.38
0 0 6 8.32
1 0 1 -10.09
0 2 6 10.3
1 6 0 -10.17
0 1 7 11.46
1 7 6 -9.23
0 7 7 7.32
1 7 4 -6.48
0 6 1 12.0
1 7 0 -12.0
0 6 6 12.0
1 7 3 -12.0
0 7 1 12.0
1 1 1 -12.0
0 0 0 12.0
