1 3 5 -4
0 2 3 4
1 3 2 -4
0 4 5 4
1 5 4 -4
0 2 2 4
1 5 3 -4
0 2 5 4
1 2 4 -4
0 1 3 4
1 4 6 -4
0 4 2 4
1 3 6 -4
0 5 2 4
1 1 5 -4
0 6 3 4
1 1 4 -4
0 6 5 4
1 0 2 -4
0 5 5 4
1 1 2 -4
0 0 3 4
1 6 4 -4
0 0 1 4
1 7 5 -1
0 2 6 1
1 7 2 -1
0 5 7 1
1 5 6 -1
0 0 6 1
1 0 5 -1
0 0 4 1
1 6 2 -1
0 7 4 1
1 2 7 -1
0 7 6 1
1 2 1 -1
0 3 1 1
1 5 1 -2
0 3 0 2
1 7 3 -2
0 7 1 2
1 4 1 -2
0 6 7 8
1 1 0 -8
0 2 0 4
1 4 0 -4
0 5 0 4
1 6 1 -4
0 0 0 4
1 1 1 -4
0 1 6 4
1 3 7 -4
0 7 0 4
1 6 0 -4
0 6 6 4
1 7 7 -4
0 4 7 4
1 0 7 -4
0 1 7 4
