1 3 5 7
0 2 5 -7
1 2 4 7
0 4 5 -7
1 5 2 7
0 2 3 -7
1 5 5 7
0 4 2 -7
1 3 2 7
0 2 1 -7
1 2 2 7
0 3 1 0
1 4 6 -4
0 1 3 0
1 2 6 -7
0 5 4 0
1 1 5 -7
0 5 3 5
1 6 2 -7
0 6 4 6
1 5 1 -8
0 1 4 5
1 7 3 -7
0 5 0 6
1 6 3 -7
0 2 7 3
1 0 4 -7
0 3 6 2
1 0 2 -7
0 5 7 6
1 4 1 -8
0 1 2 7
1 3 0 -8
0 4 0 1
1 6 0 -6
0 7 5 4
1 7 4 -3
0 0 5 4
1 2 0 -4
0 1 1 -5
1 7 6 2
0 0 3 -7
1 1 0 1
0 6 5 -8
1 5 6 8
0 0 1 -7
1 0 0 7
0 7 1 -7
1 6 1 7
0 7 0 -7
1 7 2 7
0 7 7 -7
1 3 7 7
0 6 7 -7
1 4 7 7
0 6 6 -7
1 1 6 7
0 0 7 -7
1 0 6 7
1 1 7 7
