1 3 5 -2
0 2 3 2
1 4 2 -2
0 5 3 2
1 3 2 -2
0 4 5 2
1 6 3 -2
0 2 5 2
1 1 3 -8
0 2 2 5
1 2 1 -8
0 3 1 6
1 2 4 -8
0 5 4 7
1 4 1 -8
0 7 2 8
1 7 3 -8
0 7 4 7
1 5 6 -8
0 3 0 7
1 6 4 -8
0 5 0 6
1 5 2 -8
0 0 4 6
1 4 0 -7
0 1 2 7
1 4 6 -6
0 5 1 5
1 1 5 -8
0 7 5 5
1 6 5 -6
0 6 2 6
1 7 1 -7
0 7 0 7
1 6 1 -7
0 3 6 7
1 6 0 -6
0 1 4 4
1 5 5 -5
0 2 6 0
1 0 1 -6
0 0 2 4
1 0 3 -7
0 7 6 8
1 3 7 -8
0 0 0 2
1 6 6 -2
0 7 7 2
1 6 7 -2
0 5 7 2
1 4 7 -2
0 2 7 2
1 0 5 -2
0 0 6 2
1 1 7 -2
0 1 6 2
1 0 7 -2
1 1 0 -2
0 2 0 2
1 1 1 -2
