1 3 5 0.0
0 2 3 0.0
1 3 2 0.0
0 4 5 0.0
1 5 4 0.0
0 2 2 0.0
1 5 5 0.0
0 3 6 0.0
1 2 4 0.0
0 2 5 0.0
1 1 3 -7.84
0 5 3 7.92
1 5 2 -9.14
0 4 2 8.8
1 1 4 -8.34
0 4 6 8.63
1 1 5 -9.89
0 2 6 9.73
1 5 7 -9.39
0 5 6 9.31
1 4 1 -9.91
0 3 1 9.95
1 5 1 -10.09
0 1 2 8.58
1 2 0 -6.88
0 3 0 6.72
1 4 0 -5.6
0 2 1 4.05
1 0 2 -2.29
0 0 5 -0.56
1 0 4 0.16
0 0 3 -0.63
1 4 7 0.73
0 0 1 -1.63
1 3 7 2.33
0 6 3 -2.57
1 2 7 3.13
0 5 0 -2.82
1 6 0 2.74
0 6 5 -3.05
1 6 4 1.41
0 6 2 0.63
1 1 0 -1.96
0 7 5 0
1 7 2 0
0 7 4 0.0
1 1 6 0.0
0 0 7 0.0
1 0 6 0.0
0 1 7 0.0
1 0 0 0.0
0 1 1 0.0
1 7 6 0.0
0 7 7 0.0
1 6 7 0.0
0 6 6 0.0
1 7 3 0.0
0 7 1 0.0
1 6 1 0.0
0 7 0 0.0
