1 3 5 -2.0
0 2 3 2.0
1 4 2 -2.0
0 5 3 2.0
1 2 4 -2.0
0 4 5 2.0
1 5 4 -2.0
0 5 5 2.0
1 5 2 -2.0
0 3 2 2.0
1 6 3 -2.0
0 2 2 2.0
1 4 6 -2.0
0 1 5 2.0
1 1 4 -7.42
0 1 3 7.66
1 3 1 -7.63
0 3 6 7.79
1 2 1 -8.5
0 2 5 8.91
1 0 2 -8.19
0 1 2 7.71
1 3 7 -7.45
0 2 7 7.77
1 1 7 -7.6
0 2 0 7.1
1 2 6 -5.66
0 5 7 3.72
1 0 3 -3.32
0 0 4 1.84
1 0 5 -2.08
0 5 1 3.14
1 4 1 -3.33
0 3 0 1.49
1 4 0 -0.42
0 5 0 0.43
1 6 2 -2.07
0 6 4 2.48
1 0 1 -2.48
0 7 1 2.04
1 7 2 -2.59
0 7 3 4.72
1 6 5 -5.7
0 7 6 64
1 5 6 -64
0 4 7 2.0
1 7 4 -2.0
0 7 5 2.0
1 6 7 -2.0
0 1 6 2.0
1 6 0 -2.0
0 7 0 2.0
1 6 1 -2.0
0 1 1 2.0
1 0 7 -2.0
0 0 6 2.0
1 1 0 -2.0
0 0 0 2.0
1 6 6 -2.0
0 7 7 2.0
