1 3 5 8.0
0 2 3 -8.0
1 5 2 8.0
0 5 3 -8.0
1 4 2 8.0
0 4 5 -8.0
1 2 5 8.0
0 5 5 -8.0
1 2 4 8.0
0 1 4 -8.0
1 1 5 8.0
0 3 2 -8.0
1 2 1 8.0
0 2 6 -8.0
1 0 5 -0.07
0 1 2 0.07
1 0 3 -0.07
0 5 1 -4.48
1 4 1 -3.38
0 2 2 -4.24
1 5 4 -4.13
0 1 3 2.2
1 4 6 -13.91
0 5 6 3.45
1 3 6 -13.61
0 3 1 1.75
1 0 2 -11.24
0 6 4 0.55
1 2 7 -12.43
0 4 7 10.89
1 3 0 -10.2
0 4 0 5.96
1 5 7 -11.62
0 3 7 8.96
1 6 2 -14.52
0 1 1 7.14
1 6 3 -13.42
0 1 7 4.95
1 0 7 -10.43
0 6 5 -0.01
1 5 0 -6.25
0 0 4 2.05
1 7 6 -6.3
0 6 0 -64
1 0 0 64
0 2 0 -8.0
1 6 7 8.0
0 7 5 -8.0
1 1 0 8.0
0 7 7 -8.0
1 6 6 8.0
0 0 6 -8.0
1 1 6 8.0
0 7 4 -8.0
1 7 0 8.0
0 0 1 -8.0
1 7 2 8.0
0 7 3 -8.0
1 6 1 8.0
0 7 1 -8.0
