1 3 5 -10.0
0 2 5 10.0
1 2 4 -10.0
0 2 3 10.0
1 5 2 -10.0
0 5 4 -5.38
1 5 3 5.38
0 4 5 -1.95
1 2 2 -2.39
0 2 1 -5.71
1 1 5 -0.62
0 6 2 -10.27
1 2 6 0.95
0 4 2 -10.74
1 4 6 3.18
0 3 6 -5.4
1 5 1 -6.55
0 3 2 -3.34
1 4 7 -3.3
0 5 7 -5.15
1 6 7 5.13
0 1 3 -11.45
1 3 1 3.18
0 2 0 -11.33
1 1 2 7.44
0 0 3 -9.5
1 0 4 7.3
0 0 5 -14.01
1 0 2 1.26
0 3 7 -7.12
1 1 4 3.72
0 7 7 -1.33
1 6 4 -9.41
0 4 1 -0.45
1 5 5 -10.4
0 7 4 0.55
1 0 6 -14.31
0 6 6 1.91
1 2 7 -10.55
0 1 7 0.01
1 7 3 -11.11
0 5 6 4.34
1 6 5 -14.13
0 5 0 64
1 6 1 -64
0 6 3 10.0
1 3 0 -10.0
0 4 0 10.0
1 7 2 -10.0
0 7 0 10.0
1 7 5 -10.0
0 1 6 10.0
1 7 6 -10.0
0 1 0 10.0
1 6 0 -10.0
0 7 1 10.0
1 0 0 -10.0
0 0 1 10.0
1 1 1 -10.0
0 0 7 10.0
