1 3 5 -8.0
0 2 3 8.0
1 3 2 -8.0
0 4 5 8.0
1 5 5 -8.0
0 5 4 8.0
1 4 2 -8.0
0 5 3 8.0
1 2 2 -8.0
0 4 6 8.09
1 6 3 -9.22
0 2 4 9.48
1 6 5 -9.55
0 5 2 9.63
1 6 2 -9.78
0 3 1 8.95
1 2 1 -7.89
0 4 1 8.75
1 4 0 -8.58
0 3 0 10.23
1 2 0 -9.38
0 5 1 8.89
1 5 0 -9.16
0 1 2 9.89
1 0 2 -8.96
0 7 5 8.13
1 1 3 -8.11
0 1 4 7.84
1 0 5 -8.4
0 6 4 8.63
1 1 5 -9.27
0 7 2 9.68
1 2 5 -8.86
0 7 1 9.16
1 3 6 -10.11
0 2 7 11.34
1 5 7 -11.7
0 4 7 11.52
1 6 6 -11.55
0 5 6 11.63
1 3 7 -11.54
0 1 1 9.52
1 6 7 -9.05
0 1 0 9.29
1 1 7 -9.43
0 0 4 8.8
1 0 3 -7.71
0 7 7 8.04
1 7 3 -7.85
0 7 4 9.45
1 7 6 -3.38
0 6 0 -1.11
1 7 0 1.42
0 6 1 8.0
1 0 0 -8.0
0 0 1 8.0
0 0 7 8.0
0 0 6 8.0
1 1 6 -8.0
0 2 6 8.0
