1 3 5 26.0
0 2 3 -26.0
1 5 2 26.0
0 3 6 -26.0
1 2 2 26.0
0 2 1 -26.0
1 2 4 5.52
0 4 5 -1.53
1 1 3 0.59
0 1 2 -0.76
1 2 5 1.59
0 0 3 -0.8
1 5 6 -0.36
0 3 2 -0.52
1 4 2 0.55
0 1 5 -1.61
1 3 7 1.84
0 5 5 -3.7
1 4 6 4.63
0 5 4 -5.23
1 2 6 5.91
0 5 1 -6.64
1 5 0 6.63
0 1 4 -6.87
1 6 5 8.84
0 2 7 -11.62
1 1 7 12.54
0 6 2 -13.4
1 0 5 13.64
0 4 0 -15.63
1 3 0 17.91
0 5 7 -19.07
1 6 0 18.95
0 4 1 -18.17
1 0 4 17.88
0 0 6 -18.62
1 5 3 17.82
0 6 4 -20.76
1 3 1 21.84
0 2 0 -19.59
1 1 0 19.06
0 7 4 -18.53
1 0 1 19.1
0 1 6 -64
1 7 2 64
0 6 1 -26.0
1 6 3 26.0
0 4 7 -26.0
1 6 7 26.0
0 0 2 -26.0
1 0 7 26.0
0 6 6 -26.0
1 7 7 26.0
0 7 6 -26.0
1 7 0 26.0
0 7 1 -26.0
1 7 5 26.0
0 7 3 -26.0
1 1 1 26.0
