1 3 5 -4.0
0 2 3 4.0
1 3 2 -4.0
0 4 5 4.0
1 5 4 -4.0
0 2 2 4.0
1 5 3 -4.0
0 2 5 4.0
1 2 4 -4.0
0 1 3 4.0
1 5 6 -4.0
0 4 2 4.0
1 2 6 -4.0
0 3 6 4.0
1 2 7 -4.37
0 5 2 5.44
1 1 5 -5.86
0 6 3 5.84
1 1 4 -5.07
0 6 5 5.09
1 6 4 -5.97
0 7 5 5.8
1 0 2 -5.34
0 4 7 4.38
1 1 2 -4.34
0 5 5 4.1
1 2 1 -2.24
0 4 6 2.25
1 6 7 -3.0
0 5 7 1.91
1 3 7 -2.14
0 1 6 3.05
1 3 1 -2.73
0 3 0 1.54
1 5 1 -2.44
0 6 2 2.65
1 4 0 -2.19
0 5 0 2.38
1 4 1 -0.19
0 0 6 -0.45
1 0 4 0.3
0 2 0 1.45
1 1 1 -1.16
0 6 6 64
1 7 7 -64
0 7 6 4.0
1 7 4 -4.0
0 6 1 4.0
1 7 2 -4.0
0 0 0 4.0
1 0 7 -4.0
0 0 3 4.0
1 0 5 -4.0
0 1 7 4.0
1 7 0 -4.0
0 7 3 4.0
1 6 0 -4.0
0 0 1 4.0
1 1 0 -4.0
0 7 1 4.0
