1 3 5 -2.0
0 2 3 2.0
1 5 2 -2.0
0 5 3 2.0
1 4 2 -2.0
0 4 5 2.0
1 3 2 -2.0
0 5 1 2.0
1 6 2 -2.0
0 2 4 2.0
1 2 2 -2.0
0 4 1 2.0
1 3 1 -2.0
0 6 3 2.0
1 5 4 -2.0
0 2 0 2.0
1 7 2 -2.0
0 2 1 2.0
1 5 5 -2.0
0 2 5 2.0
1 1 5 -2.0
0 6 4 2.0
1 7 3 -2.0
0 7 5 0.6
1 1 3 0.54
0 0 4 2.78
1 6 5 -5.14
0 7 6 4.14
1 1 2 -3.06
0 0 3 -0.38
1 0 2 0.34
0 4 6 0.12
1 3 6 -1.22
0 5 6 -0.94
1 4 7 0.11
0 1 1 -2.51
1 0 5 1.08
0 2 7 -4.87
1 2 6 5.07
0 1 7 -4.15
1 5 0 4.14
0 4 0 -5.86
1 6 1 4.88
0 1 4 -3.93
1 7 4 0.84
0 6 0 -1.61
1 7 7 2.02
0 7 0 -3.15
1 0 1 4.36
0 7 1 -5.65
1 3 7 4.7
0 5 7 -4.67
1 6 7 3.28
0 0 6 2.0
1 0 7 -2.0
0 1 6 2.0
1 3 0 -2.0
0 6 6 2.0
1 0 0 -2.0
0 1 0 2.0
