1 3 5 2.0
0 2 3 -2.0
1 5 2 2.0
0 5 3 -2.0
1 4 2 2.0
0 4 5 -2.0
1 3 2 2.0
0 5 1 -2.0
1 6 2 2.0
0 2 4 -2.0
1 2 2 2.0
0 4 1 -2.0
1 3 1 2.0
0 6 3 -2.0
1 1 5 2.0
0 1 2 -2.0
1 5 5 -0.23
0 5 6 0.23
1 4 6 0.15
0 1 4 0.03
1 7 3 -0.27
0 6 4 -0.36
1 2 5 0.26
0 5 4 -0.96
1 7 5 1.55
0 4 7 -2.11
1 6 5 3.27
0 4 0 -3.02
1 5 7 2.09
0 3 6 -2.41
1 2 1 3.01
0 3 0 -2.59
1 0 5 1.01
0 0 3 -0.84
1 0 2 0.98
0 6 7 -0.13
1 0 4 -2.8
0 1 3 3.55
1 2 7 -4.29
0 6 6 5.13
1 2 6 -4.34
0 7 2 3.91
1 7 1 -4.78
0 7 4 5.17
1 7 7 -5.25
0 7 6 5.45
1 3 7 -5.56
0 7 0 4.96
1 6 1 -4.73
0 6 0 3.84
1 2 0 -2.13
0 1 0 -0.6
1 5 0 -3.37
0 1 1 -2.0
1 0 0 2.0
0 0 1 -2.0
0 1 7 -2.0
1 1 6 2.0
0 0 6 -2.0
1 0 7 2.0
